ITM_TYPE,ARIMA,Bass,ETS,Lock,Naive Mean,Prophet,XGBoost
HDD,0.4745223268351627,0.7837637697254081,0.6914821117769705,0.7750568406835713,0.4341291686455061,0.4247880714757597,0.45414255144908466
MEMORY,0.4674439448816329,0.6341502771152266,0.6274208878462529,0.5927809478408471,0.6529545818007357,0.4993841825215136,0.5226703706259842
SSD,0.6093777450714164,0.8432831113940966,0.6404842263036072,0.19565946365247225,0.6350878861204169,0.6254887566357097,0.6116143020046773
